PLAYER_ID,RANK,PLAYER,GAMES,INNS,NOT OUTS,RUNS,HIGH SCORE,AVG,50s,100s,STRIKE RATE
SG1,1,Sean Griffiths,17,16,0,538,99,33.63,4,0,107.6
SM2,2,Scott Matthews,19,19,2,431,80,25.35,3,0,57.31
CB3,3,Cameron Bamford,19,18,5,420,62*,32.31,2,0,78.65
CS4,4,Callum Stephens,18,18,0,299,41,16.61,0,0,71.19
JP5,5,Joe Parkhouse,21,15,5,256,55,25.6,1,0,63.52
GJ6,6,Gavin R John,20,14,2,230,86,19.17,2,0,93.88
JG7,7,Jash Giyanani,10,10,2,216,56*,27,1,0,103.85
BW8,8,Ben Williams,19,13,1,208,88,17.33,2,0,82.87
RE9,9,R D Edwards,15,12,6,160,64*,26.67,1,0,89.89
OA10,10,Oscar Amis,8,7,1,136,66,22.67,1,0,70.1
LJ11,11,Lloyd Jones,16,8,2,118,37*,19.67,0,0,50
TG12,12,Thomas George,8,6,2,45,13*,11.25,0,0,50.56
MJ13,13,Morgan Jones,5,5,1,34,16*,8.5,0,0,51.52
EP14,14,Ethan Piles,6,3,1,31,16,15.5,0,0,54.39
AP15,15,Atharva Patil,10,6,2,29,14,7.25,0,0,74.36
DD16,16,Daniel Davies,2,2,0,27,17,13.5,0,0,64.29
NW17,17,Nathan Warlow,4,2,1,11,8,11,0,0,47.83
OB18,18,Oliver Burrows,2,1,0,10,10,10,0,0,83.33
LJ19,19,Lloyd Jones,1,1,0,2,2,2,0,0,5.88
TE20,20,Tom Evans,1,1,0,0,0,0,0,0,0
JS21,21,Jayden Slade,2,1,1,0,0*,-,0,0,0
CT22,22,Craig Thomas,2,1,0,0,0,0,0,0,0
JT23,23,Jake Thorne,1,1,1,0,0*,-,0,0,0
