RANK,PLAYER,OVERS,MAIDENS,RUNS,WICKETS,BEST BOWLING,5 WICKET HAUL,ECONOMY RATE,STRIKE RATE,AVERAGE
1,R D Edwards,103.4,10,412,28,4/26,0,3.97,22.21,14.71
2,Cameron Bamford,108,8,492,25,4/13,0,4.56,25.92,19.68
3,Sean Griffiths,106.3,7,478,25,4/28,0,4.49,25.56,19.12
4,Joe Parkhouse,135.1,10,568,21,4/45,0,4.2,38.62,27.05
5,Gavin R John,124.2,4,621,20,4/44,0,4.99,37.3,31.05
6,Oscar Amis,67.1,12,204,17,3/18,0,3.04,23.71,12
7,Jash Giyanani,89,15,305,5,2/46,0,3.43,106.8,61
8,Atharva Patil,23,2,145,4,2/23,0,6.3,34.5,36.25
9,Tom Evans,8,0,53,1,1/53,0,6.63,48,53
10,Thomas George,14,0,55,1,1/29,0,3.93,84,55
11,Andrew Shaddick,1,0,1,1,1/1,0,1,6,1
12,Callum Stephens,12.5,0,75,1,1/7,0,5.84,77,75
13,Ethan Piles,3,0,26,0,0/26,0,8.67,-,-
