RANK,PLAYER,OVERS,MAIDENS,RUNS,WICKETSÿ,BEST BOWLING,5 WICKET HAUL,ECONOMY RATE,STRIKE RATE,AVERAGE
1,Gareth Bowden,86.3,9,417,18,2/13,0,4.82,28.83,23.17
2,Andrew Shaddick,83,2,430,15,3/26,0,5.18,33.2,28.67
3,Rob Thomas,32,0,144,10,3/17,0,4.5,19.2,14.4
4,Craig Thomas,30,2,170,8,4/66,0,5.67,22.5,21.25
5,Kyran Slade,30.1,3,151,7,4/1,0,5.01,25.86,21.57
6,Kelly Palmer,20,0,160,5,2/52,0,8,24,32
7,Will Rowlands,42.2,2,198,4,2/21,0,4.68,63.5,49.5
8,Jayden Slade,19,3,84,4,2/28,0,4.42,28.5,21
9,Daniel Davies,12,4,36,3,2/20,0,3,24,12
10,Freya Derrick,12,4,37,3,2/8,0,3.08,24,12.33
11,Freya Thomas,20,1,68,3,1/17,0,3.4,40,22.67
12,Seren Morrow,8,0,34,2,2/16,0,4.25,24,17
13,Scott Bishop,39,10,109,1,1/23,0,2.79,234,109
14,Gary Clement,4,0,22,1,1/20,0,5.5,24,22
15,James Hanbury,4,1,9,1,1/9,0,2.25,24,9
16,Lloyd Jones,8,1,32,1,1/32,0,4,48,32
17,Ethan Piles,13,3,57,1,1/29,0,4.38,78,57
18,Sam Bowring,5,0,35,0,0/35,0,7,-,-
19,Arshdeep Singh,3,0,26,0,0/26,0,8.67,-,-
20,Connor Thomas,6,0,51,0,0/22,0,8.5,-,-
21,Max Thorne,4,0,30,0,0/30,0,7.5,-,-
